time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,7,0,0.3181818181818182,32
1,"(1, 0)",0,26,0,0.8636363636363636,62
2,"(1, 0)",0,58,0,1.4545454545454546,96
3,"(1, 0)",0,82,0,1.0909090909090908,133
4,"(1, 0)",0,118,0,1.6363636363636365,170
5,"(2, 0)",1,200,0,3.727272727272727,172
6,"(2, 0)",0,327,0,5.7727272727272725,173
7,"(2, 0)",0,497,0,7.7272727272727275,175
8,"(2, 0)",0,715,0,9.909090909090908,176
9,"(2, 0)",0,976,0,11.863636363636363,177
10,"(3, 0)",11,1236,0,11.818181818181818,219
11,"(3, 0)",9,1498,0,11.909090909090908,266
12,"(3, 0)",9,1761,0,11.954545454545455,313
13,"(3, 0)",5,2033,0,12.363636363636363,360
14,"(3, 0)",1,2305,0,12.363636363636363,407
15,"(4, 0)",16,2618,0,14.227272727272727,412
16,"(4, 0)",13,2980,0,16.454545454545453,417
17,"(4, 0)",10,3377,1,18.045454545454547,422
18,"(4, 0)",7,3821,4,20.181818181818183,427
19,"(4, 0)",3,4293,7,21.454545454545453,432
20,"(4, 1)",0,4748,13,19.782608695652176,478
21,"(4, 1)",0,5205,15,19.869565217391305,520
22,"(4, 1)",0,5655,19,19.565217391304348,563
23,"(4, 1)",0,6097,20,19.217391304347824,607
24,"(4, 1)",0,6532,21,18.91304347826087,651
25,"(4, 2)",15,7011,22,20.82608695652174,651
26,"(4, 2)",12,7524,24,22.304347826086957,656
27,"(4, 2)",11,8060,32,23.304347826086957,661
28,"(4, 2)",8,8619,44,24.304347826086957,666
29,"(4, 2)",4,9190,56,24.82608695652174,671
30,"(4, 3)",28,9729,70,23.434782608695652,718
31,"(4, 3)",24,10249,70,22.608695652173914,765
32,"(4, 3)",19,10758,72,22.130434782608695,812
33,"(4, 3)",17,11261,73,21.869565217391305,859
34,"(4, 3)",16,11759,74,21.652173913043477,906
