time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,10,0,0.43478260869565216,39
1,"(1, 0)",0,18,0,0.34782608695652173,77
2,"(1, 0)",0,30,0,0.5217391304347826,110
3,"(1, 0)",0,48,0,0.782608695652174,149
4,"(1, 0)",0,71,0,1.0,191
5,"(2, 0)",2,130,0,2.5652173913043477,192
6,"(2, 0)",1,234,0,4.521739130434782,197
7,"(2, 0)",0,376,0,6.173913043478261,199
8,"(2, 0)",0,572,0,8.521739130434783,200
9,"(2, 0)",0,807,0,10.217391304347826,203
10,"(3, 0)",11,1033,0,9.826086956521738,248
11,"(3, 0)",8,1266,0,10.130434782608695,296
12,"(3, 0)",3,1492,0,9.826086956521738,345
13,"(3, 0)",2,1713,0,9.608695652173912,394
14,"(3, 0)",0,1934,0,9.608695652173912,442
15,"(4, 0)",4,2205,0,11.782608695652174,447
16,"(4, 0)",1,2511,0,13.304347826086957,452
17,"(4, 0)",0,2848,1,14.652173913043478,455
18,"(4, 0)",0,3230,1,16.608695652173914,456
19,"(4, 0)",0,3651,3,18.304347826086957,459
20,"(4, 1)",24,4062,5,17.869565217391305,506
21,"(4, 1)",22,4464,6,17.47826086956522,555
22,"(4, 1)",17,4867,6,17.52173913043478,604
23,"(4, 1)",12,5265,6,17.304347826086957,652
24,"(4, 1)",7,5653,6,16.869565217391305,701
25,"(4, 2)",29,6101,6,19.47826086956522,706
26,"(4, 2)",25,6589,10,21.217391304347824,711
27,"(4, 2)",23,7112,14,22.73913043478261,716
28,"(4, 2)",20,7660,21,23.82608695652174,721
29,"(4, 2)",17,8234,31,24.956521739130434,726
30,"(4, 3)",28,8783,42,23.869565217391305,775
31,"(4, 3)",23,9327,46,23.652173913043477,824
32,"(4, 3)",19,9866,48,23.434782608695652,873
33,"(4, 3)",19,10403,52,23.347826086956523,922
34,"(4, 3)",16,10932,54,23.0,971
