time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,9,0,0.4090909090909091,32
1,"(1, 0)",0,35,0,1.1818181818181819,68
2,"(1, 0)",0,71,0,1.6363636363636365,105
3,"(1, 0)",1,110,0,1.7727272727272727,144
4,"(1, 0)",0,158,0,2.1818181818181817,189
5,"(2, 0)",7,250,0,4.181818181818182,192
6,"(2, 0)",3,391,0,6.409090909090909,197
7,"(2, 0)",0,572,0,8.227272727272727,202
8,"(2, 0)",0,783,0,9.590909090909092,202
9,"(2, 0)",0,1031,0,11.272727272727273,203
10,"(3, 0)",19,1281,0,11.363636363636363,245
11,"(3, 0)",15,1515,0,10.636363636363637,292
12,"(3, 0)",11,1755,0,10.909090909090908,339
13,"(3, 0)",11,2001,0,11.181818181818182,386
14,"(3, 0)",8,2244,0,11.045454545454545,433
15,"(4, 0)",13,2523,0,12.681818181818182,438
16,"(4, 0)",13,2861,0,15.363636363636363,443
17,"(4, 0)",11,3234,0,16.954545454545453,448
18,"(4, 0)",6,3634,0,18.181818181818183,453
19,"(4, 0)",5,4064,2,19.545454545454547,458
20,"(4, 1)",27,4478,4,18.818181818181817,505
21,"(4, 1)",25,4889,5,18.681818181818183,552
22,"(4, 1)",22,5304,6,18.863636363636363,599
23,"(4, 1)",17,5704,7,18.181818181818183,645
24,"(4, 1)",12,6100,8,18.0,690
25,"(4, 2)",19,6544,8,20.181818181818183,695
26,"(4, 2)",16,7024,9,21.818181818181817,700
27,"(4, 2)",13,7536,12,23.272727272727273,705
28,"(4, 2)",8,8068,18,24.181818181818183,710
29,"(4, 2)",6,8629,27,25.5,715
30,"(4, 3)",28,9167,36,24.454545454545453,762
31,"(4, 3)",24,9698,41,24.136363636363637,809
32,"(4, 3)",21,10222,44,23.818181818181817,856
33,"(4, 3)",19,10744,48,23.727272727272727,903
34,"(4, 3)",15,11257,53,23.318181818181817,950
