time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,10,0,0.43478260869565216,33
1,"(1, 0)",0,34,0,1.0434782608695652,69
2,"(1, 0)",0,64,0,1.3043478260869565,103
3,"(1, 0)",0,102,0,1.6521739130434783,143
4,"(1, 0)",0,140,0,1.6521739130434783,181
5,"(2, 0)",4,225,0,3.6956521739130435,181
6,"(2, 0)",1,344,0,5.173913043478261,186
7,"(2, 0)",0,501,0,6.826086956521739,188
8,"(2, 0)",0,697,0,8.521739130434783,191
9,"(2, 0)",0,941,0,10.608695652173912,192
10,"(3, 0)",7,1200,0,11.26086956521739,235
11,"(3, 0)",3,1453,0,11.0,280
12,"(3, 0)",0,1710,0,11.173913043478262,327
13,"(3, 0)",0,1970,0,11.304347826086957,371
14,"(3, 0)",0,2227,0,11.173913043478262,413
15,"(4, 0)",11,2524,0,12.91304347826087,415
16,"(4, 0)",7,2850,0,14.173913043478262,420
17,"(4, 0)",4,3219,0,16.043478260869566,425
18,"(4, 0)",0,3630,0,17.869565217391305,430
19,"(4, 0)",0,4075,2,19.347826086956523,430
20,"(4, 1)",15,4510,5,18.91304347826087,473
21,"(4, 1)",12,4937,6,18.565217391304348,520
22,"(4, 1)",7,5359,9,18.347826086956523,567
23,"(4, 1)",4,5771,11,17.91304347826087,614
24,"(4, 1)",0,6181,14,17.82608695652174,661
25,"(4, 2)",15,6631,15,19.565217391304348,662
26,"(4, 2)",11,7110,17,20.82608695652174,667
27,"(4, 2)",6,7616,25,22.0,672
28,"(4, 2)",2,8141,33,22.82608695652174,677
29,"(4, 2)",0,8682,42,23.52173913043478,680
30,"(4, 3)",28,9200,54,22.52173913043478,725
31,"(4, 3)",23,9704,61,21.91304347826087,770
32,"(4, 3)",20,10194,63,21.304347826086957,816
33,"(4, 3)",15,10677,65,21.0,863
34,"(4, 3)",13,11157,66,20.869565217391305,910
