time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",3,18,0,0.8181818181818182,36
1,"(1, 0)",0,33,0,0.6818181818181818,70
2,"(1, 0)",0,52,0,0.8636363636363636,103
3,"(1, 0)",0,76,0,1.0909090909090908,139
4,"(1, 0)",0,115,0,1.7727272727272727,180
5,"(2, 0)",1,200,0,3.8636363636363638,180
6,"(2, 0)",0,322,0,5.545454545454546,181
7,"(2, 0)",0,489,0,7.590909090909091,181
8,"(2, 0)",0,703,0,9.727272727272727,184
9,"(2, 0)",0,951,0,11.272727272727273,186
10,"(3, 0)",15,1203,0,11.454545454545455,230
11,"(3, 0)",12,1465,0,11.909090909090908,277
12,"(3, 0)",9,1720,0,11.590909090909092,323
13,"(3, 0)",5,1971,0,11.409090909090908,369
14,"(3, 0)",2,2225,0,11.545454545454545,416
15,"(4, 0)",0,2519,1,12.782608695652174,419
16,"(4, 0)",0,2860,1,14.826086956521738,419
17,"(4, 0)",0,3233,2,16.217391304347824,419
18,"(4, 0)",0,3644,3,17.869565217391305,419
19,"(4, 0)",0,4101,4,19.869565217391305,419
20,"(4, 1)",28,4545,7,19.304347826086957,463
21,"(4, 1)",24,4983,8,19.043478260869566,510
22,"(4, 1)",21,5411,10,18.608695652173914,557
23,"(4, 1)",18,5847,10,18.956521739130434,604
24,"(4, 1)",15,6277,10,18.695652173913043,651
25,"(4, 2)",25,6754,10,20.73913043478261,656
26,"(4, 2)",21,7272,14,22.52173913043478,661
27,"(4, 2)",18,7815,21,23.608695652173914,666
28,"(4, 2)",17,8391,29,25.043478260869566,671
29,"(4, 2)",13,8984,39,25.782608695652176,676
30,"(4, 3)",27,9538,52,24.08695652173913,723
31,"(4, 3)",23,10078,59,23.47826086956522,770
32,"(4, 3)",21,10608,63,23.043478260869566,817
33,"(4, 3)",17,11136,66,22.956521739130434,864
34,"(4, 3)",15,11655,69,22.565217391304348,911
