time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,7,0,0.3181818181818182,29
1,"(1, 0)",0,24,0,0.7727272727272727,62
2,"(1, 0)",0,41,0,0.7727272727272727,95
3,"(1, 0)",0,67,0,1.1818181818181819,133
4,"(1, 0)",0,107,0,1.8181818181818181,174
5,"(2, 0)",6,199,0,4.181818181818182,175
6,"(2, 0)",1,326,0,5.7727272727272725,180
7,"(2, 0)",0,493,0,7.590909090909091,184
8,"(2, 0)",0,701,0,9.454545454545455,187
9,"(2, 0)",0,942,0,10.954545454545455,191
10,"(3, 0)",2,1186,0,11.090909090909092,234
11,"(3, 0)",0,1440,0,11.545454545454545,279
12,"(3, 0)",0,1701,0,11.863636363636363,322
13,"(3, 0)",0,1958,0,11.681818181818182,368
14,"(3, 0)",0,2213,0,11.590909090909092,408
15,"(4, 0)",12,2511,0,13.545454545454545,412
16,"(4, 0)",9,2847,0,15.272727272727273,417
17,"(4, 0)",7,3227,0,17.272727272727273,422
18,"(4, 0)",3,3650,0,19.227272727272727,427
19,"(4, 0)",0,4107,2,20.772727272727273,432
20,"(4, 1)",21,4556,7,20.40909090909091,476
21,"(4, 1)",17,4998,9,20.09090909090909,522
22,"(4, 1)",13,5432,11,19.727272727272727,569
23,"(4, 1)",10,5859,14,19.40909090909091,614
24,"(4, 1)",7,6291,18,19.636363636363637,661
25,"(4, 2)",30,6756,21,21.136363636363637,666
26,"(4, 2)",25,7253,29,22.59090909090909,671
27,"(4, 2)",22,7775,38,23.727272727272727,676
28,"(4, 2)",18,8316,49,24.59090909090909,681
29,"(4, 2)",15,8864,59,24.90909090909091,686
30,"(4, 3)",28,9376,70,23.272727272727273,733
31,"(4, 3)",24,9882,76,23.0,780
32,"(4, 3)",23,10380,78,22.636363636363637,827
33,"(4, 3)",25,10873,82,22.40909090909091,874
34,"(4, 3)",22,11368,86,22.5,921
