time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,12,0,0.5454545454545454,32
1,"(1, 0)",0,32,0,0.9090909090909091,71
2,"(1, 0)",0,61,0,1.3181818181818181,109
3,"(1, 0)",0,98,0,1.6818181818181819,150
4,"(1, 0)",0,133,0,1.5909090909090908,189
5,"(2, 0)",6,220,0,3.9545454545454546,190
6,"(2, 0)",3,340,0,5.454545454545454,195
7,"(2, 0)",0,502,0,7.363636363636363,199
8,"(2, 0)",0,702,0,9.090909090909092,200
9,"(2, 0)",0,945,0,11.045454545454545,200
10,"(3, 0)",15,1184,0,10.863636363636363,243
11,"(3, 0)",12,1416,0,10.545454545454545,288
12,"(3, 0)",8,1650,0,10.636363636363637,335
13,"(3, 0)",4,1883,0,10.590909090909092,382
14,"(3, 0)",1,2104,0,10.045454545454545,428
15,"(4, 0)",9,2363,0,11.772727272727273,431
16,"(4, 0)",5,2672,0,14.045454545454545,436
17,"(4, 0)",5,3028,0,16.181818181818183,441
18,"(4, 0)",4,3440,1,18.727272727272727,446
19,"(4, 0)",3,3901,3,20.954545454545453,451
20,"(4, 1)",22,4358,6,20.772727272727273,496
21,"(4, 1)",21,4815,7,20.772727272727273,541
22,"(4, 1)",17,5270,8,20.681818181818183,588
23,"(4, 1)",16,5738,10,21.272727272727273,635
24,"(4, 1)",13,6198,10,20.90909090909091,682
25,"(4, 2)",0,6701,12,21.869565217391305,687
26,"(4, 2)",0,7247,17,23.73913043478261,687
27,"(4, 2)",0,7811,24,24.52173913043478,687
28,"(4, 2)",0,8387,33,25.043478260869566,687
29,"(4, 2)",0,8977,46,25.652173913043477,687
30,"(4, 3)",28,9537,58,24.347826086956523,731
31,"(4, 3)",25,10085,61,23.82608695652174,778
32,"(4, 3)",23,10618,64,23.17391304347826,825
33,"(4, 3)",21,11138,66,22.608695652173914,872
34,"(4, 3)",17,11656,69,22.52173913043478,919
