time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,8,0,0.36363636363636365,35
1,"(1, 0)",0,21,0,0.5909090909090909,69
2,"(1, 0)",0,42,0,0.9545454545454546,111
3,"(1, 0)",0,58,0,0.7272727272727273,149
4,"(1, 0)",0,81,0,1.0454545454545454,189
5,"(2, 0)",5,159,0,3.5454545454545454,191
6,"(2, 0)",3,269,0,5.0,196
7,"(2, 0)",0,416,0,6.681818181818182,200
8,"(2, 0)",0,600,0,8.363636363636363,200
9,"(2, 0)",0,822,0,10.090909090909092,202
10,"(3, 0)",10,1059,0,10.772727272727273,245
11,"(3, 0)",7,1293,0,10.636363636363637,291
12,"(3, 0)",4,1528,0,10.681818181818182,337
13,"(3, 0)",0,1759,0,10.5,383
14,"(3, 0)",0,1980,0,10.045454545454545,429
15,"(4, 0)",13,2245,0,12.045454545454545,430
16,"(4, 0)",13,2555,0,14.090909090909092,435
17,"(4, 0)",9,2897,0,15.545454545454545,440
18,"(4, 0)",5,3281,0,17.454545454545453,445
19,"(4, 0)",4,3704,1,19.227272727272727,450
20,"(4, 1)",0,4124,3,18.26086956521739,497
21,"(4, 1)",0,4556,6,18.782608695652176,541
22,"(4, 1)",0,4983,6,18.565217391304348,585
23,"(4, 1)",0,5409,8,18.52173913043478,629
24,"(4, 1)",0,5830,9,18.304347826086957,673
25,"(4, 2)",26,6310,10,20.869565217391305,673
26,"(4, 2)",22,6828,14,22.52173913043478,678
27,"(4, 2)",18,7370,20,23.565217391304348,683
28,"(4, 2)",13,7933,27,24.47826086956522,688
29,"(4, 2)",11,8515,39,25.304347826086957,693
30,"(4, 3)",27,9063,51,23.82608695652174,740
31,"(4, 3)",23,9599,52,23.304347826086957,787
32,"(4, 3)",20,10131,56,23.130434782608695,834
33,"(4, 3)",15,10650,59,22.565217391304348,881
34,"(4, 3)",13,11161,64,22.217391304347824,928
