time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,14,0,0.6363636363636364,30
1,"(1, 0)",0,35,0,0.9545454545454546,65
2,"(1, 0)",0,65,0,1.3636363636363635,103
3,"(1, 0)",0,98,0,1.5,142
4,"(1, 0)",0,135,0,1.6818181818181819,175
5,"(2, 0)",7,218,0,3.772727272727273,176
6,"(2, 0)",3,329,0,5.045454545454546,181
7,"(2, 0)",0,486,0,7.136363636363637,185
8,"(2, 0)",0,689,0,9.227272727272727,188
9,"(2, 0)",0,937,0,11.272727272727273,190
10,"(3, 0)",20,1174,0,10.772727272727273,236
11,"(3, 0)",17,1413,0,10.863636363636363,282
12,"(3, 0)",12,1641,0,10.363636363636363,329
13,"(3, 0)",9,1869,0,10.363636363636363,376
14,"(3, 0)",8,2102,0,10.590909090909092,423
15,"(4, 0)",9,2371,0,12.227272727272727,428
16,"(4, 0)",5,2672,0,13.681818181818182,433
17,"(4, 0)",2,3012,0,15.454545454545455,438
18,"(4, 0)",0,3392,1,17.272727272727273,440
19,"(4, 0)",0,3819,2,19.40909090909091,442
20,"(4, 1)",22,4247,4,19.454545454545453,484
21,"(4, 1)",21,4663,6,18.90909090909091,530
22,"(4, 1)",17,5084,9,19.136363636363637,577
23,"(4, 1)",13,5503,12,19.045454545454547,624
24,"(4, 1)",11,5920,15,18.954545454545453,671
25,"(4, 2)",30,6366,16,20.272727272727273,676
26,"(4, 2)",25,6840,20,21.545454545454547,681
27,"(4, 2)",21,7348,27,23.09090909090909,686
28,"(4, 2)",17,7877,34,24.045454545454547,691
29,"(4, 2)",13,8423,41,24.818181818181817,696
30,"(4, 3)",0,8944,49,22.652173913043477,743
31,"(4, 3)",0,9466,52,22.695652173913043,787
32,"(4, 3)",0,9989,56,22.73913043478261,831
33,"(4, 3)",0,10512,58,22.73913043478261,875
34,"(4, 3)",0,11039,62,22.91304347826087,919
