time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,7,0,0.3181818181818182,29
1,"(1, 0)",0,24,0,0.7727272727272727,64
2,"(1, 0)",0,45,0,0.9545454545454546,98
3,"(1, 0)",0,76,0,1.4090909090909092,135
4,"(1, 0)",0,116,0,1.8181818181818181,171
5,"(2, 0)",4,193,0,3.5,172
6,"(2, 0)",0,309,0,5.2727272727272725,176
7,"(2, 0)",0,473,0,7.454545454545454,178
8,"(2, 0)",0,675,0,9.181818181818182,180
9,"(2, 0)",0,918,0,11.045454545454545,182
10,"(3, 0)",7,1153,0,10.681818181818182,226
11,"(3, 0)",3,1388,0,10.681818181818182,273
12,"(3, 0)",1,1625,0,10.772727272727273,320
13,"(3, 0)",0,1845,0,10.0,364
14,"(3, 0)",0,2070,0,10.227272727272727,406
15,"(4, 0)",13,2332,0,11.909090909090908,410
16,"(4, 0)",10,2632,0,13.636363636363637,415
17,"(4, 0)",7,2977,0,15.681818181818182,420
18,"(4, 0)",3,3353,0,17.09090909090909,425
19,"(4, 0)",0,3766,1,18.772727272727273,430
20,"(4, 1)",28,4173,3,18.5,475
21,"(4, 1)",24,4571,3,18.09090909090909,521
22,"(4, 1)",20,4964,3,17.863636363636363,567
23,"(4, 1)",15,5348,3,17.454545454545453,614
24,"(4, 1)",13,5733,4,17.5,661
25,"(4, 2)",17,6162,5,19.5,666
26,"(4, 2)",16,6619,7,20.772727272727273,671
27,"(4, 2)",12,7112,11,22.40909090909091,676
28,"(4, 2)",8,7633,15,23.681818181818183,681
29,"(4, 2)",3,8171,22,24.454545454545453,686
30,"(4, 3)",28,8679,33,23.09090909090909,733
31,"(4, 3)",25,9174,39,22.5,780
32,"(4, 3)",24,9660,40,22.09090909090909,826
33,"(4, 3)",21,10147,42,22.136363636363637,873
34,"(4, 3)",17,10630,44,21.954545454545453,920
