time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,9,0,0.4090909090909091,29
1,"(1, 0)",0,25,0,0.7272727272727273,70
2,"(1, 0)",0,51,0,1.1818181818181819,109
3,"(1, 0)",0,71,0,0.9090909090909091,149
4,"(1, 0)",0,94,0,1.0454545454545454,180
5,"(2, 0)",0,162,0,3.090909090909091,182
6,"(2, 0)",0,287,0,5.681818181818182,182
7,"(2, 0)",0,446,0,7.2272727272727275,182
8,"(2, 0)",0,651,0,9.318181818181818,184
9,"(2, 0)",0,894,0,11.045454545454545,185
10,"(3, 0)",11,1144,0,11.363636363636363,228
11,"(3, 0)",7,1386,0,11.0,274
12,"(3, 0)",3,1633,0,11.227272727272727,321
13,"(3, 0)",0,1895,0,11.909090909090908,367
14,"(3, 0)",2,2148,0,11.5,414
15,"(4, 0)",27,2445,0,13.5,418
16,"(4, 0)",25,2784,1,15.409090909090908,423
17,"(4, 0)",23,3171,1,17.59090909090909,428
18,"(4, 0)",22,3598,3,19.40909090909091,433
19,"(4, 0)",18,4051,6,20.59090909090909,438
20,"(4, 1)",26,4497,10,20.272727272727273,485
21,"(4, 1)",24,4939,11,20.09090909090909,532
22,"(4, 1)",22,5373,11,19.727272727272727,579
23,"(4, 1)",17,5799,12,19.363636363636363,626
24,"(4, 1)",14,6222,13,19.227272727272727,673
25,"(4, 2)",0,6675,13,19.695652173913043,678
26,"(4, 2)",0,7158,15,21.0,678
27,"(4, 2)",0,7675,20,22.47826086956522,678
28,"(4, 2)",0,8220,27,23.695652173913043,678
29,"(4, 2)",0,8781,36,24.391304347826086,678
30,"(4, 3)",28,9316,47,23.26086956521739,722
31,"(4, 3)",25,9840,51,22.782608695652176,769
32,"(4, 3)",22,10352,51,22.26086956521739,816
33,"(4, 3)",18,10854,52,21.82608695652174,863
34,"(4, 3)",15,11357,53,21.869565217391305,910
