time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",3,44,0,1.76,47
1,"(1, 0)",0,124,0,3.2,97
2,"(1, 0)",0,263,0,5.56,148
3,"(1, 0)",0,458,0,7.8,198
4,"(1, 0)",0,676,0,8.72,248
5,"(2, 0)",8,978,0,12.08,253
6,"(2, 0)",10,1392,1,16.56,258
7,"(2, 0)",7,1897,3,20.2,263
8,"(2, 0)",6,2477,6,23.2,268
9,"(2, 0)",1,3115,15,25.52,273
10,"(3, 0)",28,3748,28,25.32,326
11,"(3, 0)",25,4392,42,25.76,379
12,"(3, 0)",24,5042,58,26.0,432
13,"(3, 0)",25,5698,69,26.24,485
14,"(3, 0)",24,6357,84,26.36,538
15,"(4, 0)",29,7069,98,28.48,543
16,"(4, 0)",25,7793,120,28.96,548
17,"(4, 0)",23,8521,142,29.12,553
18,"(4, 0)",22,9255,163,29.36,558
19,"(4, 0)",23,9997,186,29.68,563
20,"(4, 1)",28,10689,210,27.68,616
21,"(4, 1)",25,11378,224,27.56,669
22,"(4, 1)",23,12065,239,27.48,722
23,"(4, 1)",21,12750,256,27.4,775
24,"(4, 1)",18,13430,270,27.2,828
25,"(4, 2)",30,14156,286,29.04,833
26,"(4, 2)",25,14890,307,29.36,838
27,"(4, 2)",24,15628,330,29.52,843
28,"(4, 2)",24,16372,353,29.76,848
29,"(4, 2)",25,17117,376,29.8,853
30,"(4, 3)",28,17814,400,27.88,906
31,"(4, 3)",25,18507,419,27.72,959
32,"(4, 3)",21,19196,437,27.56,1012
33,"(4, 3)",19,19885,455,27.56,1065
34,"(4, 3)",19,20575,472,27.6,1118
