time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,55,0,2.2,46
1,"(1, 0)",1,158,0,4.12,99
2,"(1, 0)",0,319,0,6.44,150
3,"(1, 0)",1,522,0,8.12,203
4,"(1, 0)",0,772,0,10.0,256
5,"(2, 0)",14,1109,0,13.48,261
6,"(2, 0)",11,1538,1,17.16,266
7,"(2, 0)",8,2050,3,20.48,271
8,"(2, 0)",6,2633,9,23.32,276
9,"(2, 0)",7,3291,20,26.32,281
10,"(3, 0)",26,3934,38,25.72,334
11,"(3, 0)",25,4585,57,26.04,387
12,"(3, 0)",24,5238,74,26.12,440
13,"(3, 0)",23,5898,90,26.4,493
14,"(3, 0)",20,6555,105,26.28,546
15,"(4, 0)",29,7267,119,28.48,551
16,"(4, 0)",25,7991,140,28.96,556
17,"(4, 0)",25,8725,162,29.36,561
18,"(4, 0)",23,9466,184,29.64,566
19,"(4, 0)",22,10208,208,29.68,571
20,"(4, 1)",28,10902,232,27.76,624
21,"(4, 1)",25,11589,250,27.48,677
22,"(4, 1)",25,12274,266,27.4,730
23,"(4, 1)",23,12953,283,27.16,783
24,"(4, 1)",25,13641,302,27.52,836
25,"(4, 2)",30,14378,320,29.48,841
26,"(4, 2)",25,15123,344,29.8,846
27,"(4, 2)",25,15868,367,29.8,851
28,"(4, 2)",24,16612,390,29.76,856
29,"(4, 2)",23,17355,411,29.72,861
30,"(4, 3)",28,18050,434,27.8,914
31,"(4, 3)",25,18741,455,27.64,967
32,"(4, 3)",21,19427,473,27.44,1020
33,"(4, 3)",20,20111,492,27.36,1073
34,"(4, 3)",21,20801,508,27.6,1126
