time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",2,61,0,2.44,47
1,"(1, 0)",0,167,0,4.24,99
2,"(1, 0)",0,321,0,6.16,149
3,"(1, 0)",0,525,0,8.16,199
4,"(1, 0)",0,789,0,10.56,252
5,"(2, 0)",12,1147,0,14.32,257
6,"(2, 0)",13,1612,0,18.6,262
7,"(2, 0)",10,2167,3,22.2,267
8,"(2, 0)",9,2797,9,25.2,272
9,"(2, 0)",9,3483,25,27.44,277
10,"(3, 0)",28,4145,43,26.48,330
11,"(3, 0)",25,4805,57,26.4,383
12,"(3, 0)",25,5478,74,26.92,436
13,"(3, 0)",25,6157,93,27.16,489
14,"(3, 0)",21,6834,111,27.08,542
15,"(4, 0)",30,7557,129,28.92,547
16,"(4, 0)",25,8291,151,29.36,552
17,"(4, 0)",24,9034,174,29.72,557
18,"(4, 0)",24,9778,198,29.76,562
19,"(4, 0)",24,10522,222,29.76,567
20,"(4, 1)",28,11216,246,27.76,620
21,"(4, 1)",25,11907,266,27.64,673
22,"(4, 1)",24,12600,282,27.72,726
23,"(4, 1)",22,13289,299,27.56,779
24,"(4, 1)",22,13983,318,27.76,832
25,"(4, 2)",30,14719,334,29.44,837
26,"(4, 2)",25,15457,355,29.52,842
27,"(4, 2)",25,16200,379,29.72,847
28,"(4, 2)",23,16943,402,29.72,852
29,"(4, 2)",21,17684,426,29.64,857
30,"(4, 3)",28,18375,448,27.64,910
31,"(4, 3)",25,19064,465,27.56,963
32,"(4, 3)",24,19755,480,27.64,1016
33,"(4, 3)",22,20442,493,27.48,1069
34,"(4, 3)",20,21128,508,27.44,1122
