time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",3,61,0,2.44,52
1,"(1, 0)",1,168,0,4.28,105
2,"(1, 0)",0,315,0,5.88,157
3,"(1, 0)",0,518,0,8.12,209
4,"(1, 0)",0,762,0,9.76,260
5,"(2, 0)",9,1103,0,13.64,260
6,"(2, 0)",8,1545,0,17.68,265
7,"(2, 0)",6,2074,1,21.16,270
8,"(2, 0)",4,2680,4,24.24,275
9,"(2, 0)",1,3343,15,26.52,280
10,"(3, 0)",28,3983,33,25.6,331
11,"(3, 0)",25,4627,45,25.76,384
12,"(3, 0)",23,5283,59,26.24,437
13,"(3, 0)",24,5949,74,26.64,490
14,"(3, 0)",24,6618,88,26.76,543
15,"(4, 0)",30,7340,105,28.88,548
16,"(4, 0)",25,8071,127,29.24,553
17,"(4, 0)",25,8808,149,29.48,558
18,"(4, 0)",24,9546,172,29.52,563
19,"(4, 0)",22,10285,194,29.56,568
20,"(4, 1)",28,10978,218,27.72,621
21,"(4, 1)",25,11666,235,27.52,674
22,"(4, 1)",24,12354,253,27.52,727
23,"(4, 1)",24,13044,271,27.6,780
24,"(4, 1)",23,13737,290,27.72,833
25,"(4, 2)",30,14479,313,29.68,838
26,"(4, 2)",25,15218,336,29.56,843
27,"(4, 2)",24,15960,359,29.68,848
28,"(4, 2)",25,16705,382,29.8,853
29,"(4, 2)",23,17448,405,29.72,858
30,"(4, 3)",28,18143,429,27.8,911
31,"(4, 3)",25,18836,447,27.72,964
32,"(4, 3)",24,19526,463,27.6,1017
33,"(4, 3)",22,20218,484,27.68,1070
34,"(4, 3)",19,20906,502,27.52,1123
