time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",2,44,0,1.76,48
1,"(1, 0)",0,126,0,3.28,101
2,"(1, 0)",4,270,0,5.76,154
3,"(1, 0)",6,453,0,7.32,207
4,"(1, 0)",3,673,0,8.8,260
5,"(2, 0)",5,1005,0,13.28,265
6,"(2, 0)",2,1437,0,17.28,270
7,"(2, 0)",1,1956,2,20.76,275
8,"(2, 0)",1,2565,7,24.36,280
9,"(2, 0)",0,3228,17,26.52,285
10,"(3, 0)",28,3884,35,26.24,338
11,"(3, 0)",25,4546,52,26.48,391
12,"(3, 0)",25,5207,69,26.44,444
13,"(3, 0)",24,5878,86,26.84,497
14,"(3, 0)",22,6547,104,26.76,550
15,"(4, 0)",30,7269,122,28.88,555
16,"(4, 0)",25,7998,144,29.16,560
17,"(4, 0)",22,8732,165,29.36,565
18,"(4, 0)",20,9468,185,29.44,570
19,"(4, 0)",18,10206,208,29.52,575
20,"(4, 1)",28,10898,231,27.68,628
21,"(4, 1)",25,11590,253,27.68,681
22,"(4, 1)",25,12283,275,27.72,734
23,"(4, 1)",25,12972,292,27.56,787
24,"(4, 1)",24,13666,311,27.76,840
25,"(4, 2)",29,14404,327,29.52,845
26,"(4, 2)",25,15145,351,29.64,850
27,"(4, 2)",23,15887,374,29.68,855
28,"(4, 2)",20,16627,397,29.6,860
29,"(4, 2)",19,17366,419,29.56,865
30,"(4, 3)",28,18057,443,27.64,918
31,"(4, 3)",25,18743,459,27.44,971
32,"(4, 3)",23,19421,474,27.12,1024
33,"(4, 3)",20,20104,490,27.32,1077
34,"(4, 3)",18,20782,504,27.12,1130
