time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",3,50,0,2.0,50
1,"(1, 0)",4,140,0,3.6,103
2,"(1, 0)",4,278,0,5.52,156
3,"(1, 0)",3,458,0,7.2,209
4,"(1, 0)",0,684,0,9.04,261
5,"(2, 0)",22,1000,0,12.64,266
6,"(2, 0)",20,1419,0,16.76,271
7,"(2, 0)",20,1954,1,21.4,276
8,"(2, 0)",19,2570,7,24.64,281
9,"(2, 0)",17,3246,19,27.04,286
10,"(3, 0)",23,3904,35,26.32,339
11,"(3, 0)",20,4564,50,26.4,392
12,"(3, 0)",16,5228,62,26.56,445
13,"(3, 0)",17,5905,76,27.08,498
14,"(3, 0)",14,6582,93,27.08,551
15,"(4, 0)",30,7312,110,29.2,556
16,"(4, 0)",25,8043,133,29.24,561
17,"(4, 0)",25,8777,156,29.36,566
18,"(4, 0)",24,9515,178,29.52,571
19,"(4, 0)",20,10250,200,29.4,576
20,"(4, 1)",28,10939,223,27.56,629
21,"(4, 1)",25,11626,241,27.48,682
22,"(4, 1)",24,12312,257,27.44,735
23,"(4, 1)",23,12999,270,27.48,788
24,"(4, 1)",21,13691,289,27.68,841
25,"(4, 2)",30,14430,307,29.56,846
26,"(4, 2)",25,15171,331,29.64,851
27,"(4, 2)",23,15912,354,29.64,856
28,"(4, 2)",23,16655,377,29.72,861
29,"(4, 2)",24,17399,401,29.76,866
30,"(4, 3)",28,18093,425,27.76,919
31,"(4, 3)",25,18783,442,27.6,972
32,"(4, 3)",23,19470,461,27.48,1025
33,"(4, 3)",22,20160,481,27.6,1078
34,"(4, 3)",20,20850,498,27.6,1131
