time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",4,51,0,2.04,45
1,"(1, 0)",0,142,0,3.64,96
2,"(1, 0)",0,294,0,6.08,148
3,"(1, 0)",0,487,0,7.72,201
4,"(1, 0)",2,725,0,9.52,254
5,"(2, 0)",7,1061,0,13.44,259
6,"(2, 0)",5,1500,0,17.56,264
7,"(2, 0)",1,2026,1,21.04,269
8,"(2, 0)",4,2635,6,24.36,274
9,"(2, 0)",7,3304,20,26.76,279
10,"(3, 0)",28,3958,37,26.16,332
11,"(3, 0)",23,4613,49,26.2,385
12,"(3, 0)",24,5276,64,26.52,438
13,"(3, 0)",25,5952,79,27.04,491
14,"(3, 0)",24,6641,98,27.56,544
15,"(4, 0)",30,7379,118,29.52,549
16,"(4, 0)",25,8118,140,29.56,554
17,"(4, 0)",24,8858,163,29.6,559
18,"(4, 0)",25,9603,186,29.8,564
19,"(4, 0)",25,10348,211,29.8,569
20,"(4, 1)",28,11044,235,27.84,622
21,"(4, 1)",25,11739,252,27.8,675
22,"(4, 1)",22,12431,270,27.68,728
23,"(4, 1)",20,13118,285,27.48,781
24,"(4, 1)",21,13810,302,27.68,834
25,"(4, 2)",30,14550,317,29.6,839
26,"(4, 2)",25,15290,340,29.6,844
27,"(4, 2)",25,16032,364,29.68,849
28,"(4, 2)",21,16773,386,29.64,854
29,"(4, 2)",23,17516,409,29.72,859
30,"(4, 3)",28,18213,434,27.88,912
31,"(4, 3)",25,18905,449,27.68,965
32,"(4, 3)",23,19596,466,27.64,1018
33,"(4, 3)",22,20285,484,27.56,1071
34,"(4, 3)",23,20978,499,27.72,1124
