time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,48,0,1.92,47
1,"(1, 0)",0,144,0,3.84,97
2,"(1, 0)",0,282,0,5.52,146
3,"(1, 0)",0,480,0,7.92,198
4,"(1, 0)",0,733,0,10.12,251
5,"(2, 0)",11,1090,0,14.28,256
6,"(2, 0)",6,1552,1,18.48,261
7,"(2, 0)",4,2100,5,21.92,266
8,"(2, 0)",4,2730,13,25.2,271
9,"(2, 0)",1,3405,27,27.0,276
10,"(3, 0)",28,4063,46,26.32,329
11,"(3, 0)",25,4719,62,26.24,382
12,"(3, 0)",23,5377,77,26.32,435
13,"(3, 0)",21,6026,93,25.96,488
14,"(3, 0)",18,6676,108,26.0,541
15,"(4, 0)",30,7376,122,28.0,546
16,"(4, 0)",25,8080,144,28.16,551
17,"(4, 0)",22,8795,165,28.6,556
18,"(4, 0)",19,9522,186,29.08,561
19,"(4, 0)",18,10254,209,29.28,566
20,"(4, 1)",28,10938,231,27.36,619
21,"(4, 1)",25,11618,248,27.2,672
22,"(4, 1)",25,12299,265,27.24,725
23,"(4, 1)",24,12983,282,27.36,778
24,"(4, 1)",22,13668,302,27.4,831
25,"(4, 2)",30,14404,319,29.44,836
26,"(4, 2)",25,15142,341,29.52,841
27,"(4, 2)",23,15884,364,29.68,846
28,"(4, 2)",23,16627,387,29.72,851
29,"(4, 2)",22,17369,410,29.68,856
30,"(4, 3)",28,18060,432,27.64,909
31,"(4, 3)",25,18755,452,27.8,962
32,"(4, 3)",25,19450,471,27.8,1015
33,"(4, 3)",25,20143,492,27.72,1068
34,"(4, 3)",22,20830,507,27.48,1121
