time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",7,49,0,1.96,47
1,"(1, 0)",9,149,0,4.0,100
2,"(1, 0)",6,304,0,6.2,153
3,"(1, 0)",5,503,0,7.96,206
4,"(1, 0)",5,741,0,9.52,259
5,"(2, 0)",17,1081,0,13.6,264
6,"(2, 0)",22,1512,0,17.24,269
7,"(2, 0)",24,2053,1,21.64,274
8,"(2, 0)",21,2678,6,25.0,279
9,"(2, 0)",19,3355,19,27.08,284
10,"(3, 0)",28,4009,36,26.16,337
11,"(3, 0)",25,4682,50,26.92,390
12,"(3, 0)",23,5363,61,27.24,443
13,"(3, 0)",19,6040,78,27.08,496
14,"(3, 0)",17,6717,93,27.08,549
15,"(4, 0)",30,7443,110,29.04,554
16,"(4, 0)",25,8175,131,29.28,559
17,"(4, 0)",25,8911,154,29.44,564
18,"(4, 0)",23,9648,176,29.48,569
19,"(4, 0)",21,10386,198,29.52,574
20,"(4, 1)",28,11074,221,27.52,627
21,"(4, 1)",25,11759,240,27.4,680
22,"(4, 1)",25,12441,257,27.28,733
23,"(4, 1)",25,13128,278,27.48,786
24,"(4, 1)",23,13811,292,27.32,839
25,"(4, 2)",30,14545,308,29.36,844
26,"(4, 2)",25,15286,330,29.64,849
27,"(4, 2)",25,16031,352,29.8,854
28,"(4, 2)",25,16776,374,29.8,859
29,"(4, 2)",25,17521,399,29.8,864
30,"(4, 3)",28,18215,423,27.76,917
31,"(4, 3)",25,18911,441,27.84,970
32,"(4, 3)",22,19601,460,27.6,1023
33,"(4, 3)",23,20294,480,27.72,1076
34,"(4, 3)",23,20984,498,27.6,1129
