time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",3,53,0,2.12,50
1,"(1, 0)",4,149,0,3.84,103
2,"(1, 0)",2,291,0,5.68,156
3,"(1, 0)",0,463,0,6.88,206
4,"(1, 0)",0,698,0,9.4,255
5,"(2, 0)",11,1041,0,13.72,257
6,"(2, 0)",10,1484,0,17.72,262
7,"(2, 0)",6,2022,2,21.52,267
8,"(2, 0)",4,2625,8,24.12,272
9,"(2, 0)",4,3296,18,26.84,277
10,"(3, 0)",28,3951,33,26.2,330
11,"(3, 0)",25,4610,51,26.36,383
12,"(3, 0)",25,5271,68,26.44,436
13,"(3, 0)",22,5937,82,26.64,489
14,"(3, 0)",22,6614,100,27.08,542
15,"(4, 0)",30,7340,117,29.04,547
16,"(4, 0)",25,8069,140,29.16,552
17,"(4, 0)",23,8804,161,29.4,557
18,"(4, 0)",25,9546,183,29.68,562
19,"(4, 0)",25,10291,207,29.8,567
20,"(4, 1)",28,10987,230,27.84,620
21,"(4, 1)",25,11681,249,27.76,673
22,"(4, 1)",25,12374,269,27.72,726
23,"(4, 1)",21,13067,290,27.72,779
24,"(4, 1)",21,13756,308,27.56,832
25,"(4, 2)",30,14494,327,29.52,837
26,"(4, 2)",25,15237,350,29.72,842
27,"(4, 2)",25,15982,374,29.8,847
28,"(4, 2)",23,16725,398,29.72,852
29,"(4, 2)",25,17470,420,29.8,857
30,"(4, 3)",28,18165,443,27.8,910
31,"(4, 3)",25,18860,459,27.8,963
32,"(4, 3)",20,19547,479,27.48,1016
33,"(4, 3)",20,20236,495,27.56,1069
34,"(4, 3)",18,20923,514,27.48,1122
