time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,47,0,1.88,48
1,"(1, 0)",0,132,0,3.4,100
2,"(1, 0)",0,264,0,5.28,150
3,"(1, 0)",0,455,0,7.64,201
4,"(1, 0)",0,685,0,9.2,252
5,"(2, 0)",8,1013,0,13.12,254
6,"(2, 0)",5,1440,0,17.08,259
7,"(2, 0)",1,1947,1,20.28,264
8,"(2, 0)",2,2534,5,23.48,269
9,"(2, 0)",1,3180,13,25.84,274
10,"(3, 0)",28,3814,29,25.36,326
11,"(3, 0)",25,4454,39,25.6,379
12,"(3, 0)",21,5098,52,25.76,432
13,"(3, 0)",22,5754,67,26.24,485
14,"(3, 0)",20,6416,86,26.48,538
15,"(4, 0)",30,7127,98,28.44,543
16,"(4, 0)",25,7853,120,29.04,548
17,"(4, 0)",23,8583,142,29.2,553
18,"(4, 0)",21,9320,164,29.48,558
19,"(4, 0)",25,10064,187,29.76,563
20,"(4, 1)",28,10760,211,27.84,616
21,"(4, 1)",23,11452,229,27.68,669
22,"(4, 1)",22,12143,244,27.64,722
23,"(4, 1)",20,12828,261,27.4,775
24,"(4, 1)",19,13515,280,27.48,828
25,"(4, 2)",30,14250,297,29.4,833
26,"(4, 2)",25,14988,321,29.52,838
27,"(4, 2)",22,15725,344,29.48,843
28,"(4, 2)",18,16461,367,29.44,848
29,"(4, 2)",17,17198,391,29.48,853
30,"(4, 3)",28,17888,415,27.6,906
31,"(4, 3)",25,18574,435,27.44,959
32,"(4, 3)",23,19261,456,27.48,1012
33,"(4, 3)",21,19944,469,27.32,1065
34,"(4, 3)",21,20629,485,27.4,1118
