time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,36,0,1.44,52
1,"(1, 0)",2,115,0,3.16,104
2,"(1, 0)",0,226,0,4.44,156
3,"(1, 0)",0,389,0,6.52,206
4,"(1, 0)",0,609,0,8.8,257
5,"(2, 0)",8,915,0,12.24,262
6,"(2, 0)",6,1323,0,16.32,267
7,"(2, 0)",5,1822,0,19.96,272
8,"(2, 0)",3,2415,3,23.72,277
9,"(2, 0)",0,3068,11,26.12,282
10,"(3, 0)",28,3714,28,25.84,335
11,"(3, 0)",25,4361,42,25.88,386
12,"(3, 0)",22,5022,54,26.44,439
13,"(3, 0)",21,5686,69,26.56,492
14,"(3, 0)",20,6358,87,26.88,545
15,"(4, 0)",30,7077,101,28.76,550
16,"(4, 0)",25,7811,122,29.36,555
17,"(4, 0)",25,8553,145,29.68,560
18,"(4, 0)",22,9295,169,29.68,565
19,"(4, 0)",24,10039,193,29.76,570
20,"(4, 1)",28,10733,216,27.76,623
21,"(4, 1)",25,11424,236,27.64,676
22,"(4, 1)",25,12117,256,27.72,729
23,"(4, 1)",24,12811,277,27.76,782
24,"(4, 1)",20,13503,295,27.68,835
25,"(4, 2)",30,14237,311,29.36,840
26,"(4, 2)",25,14972,334,29.4,845
27,"(4, 2)",23,15712,357,29.6,850
28,"(4, 2)",20,16452,381,29.6,855
29,"(4, 2)",20,17192,405,29.6,860
30,"(4, 3)",28,17880,428,27.52,913
31,"(4, 3)",25,18558,444,27.12,966
32,"(4, 3)",21,19236,464,27.12,1019
33,"(4, 3)",20,19917,482,27.24,1072
34,"(4, 3)",19,20599,496,27.28,1125
