time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,49,0,1.96,51
1,"(1, 0)",0,144,0,3.8,102
2,"(1, 0)",4,279,0,5.4,154
3,"(1, 0)",2,465,0,7.44,206
4,"(1, 0)",2,695,0,9.2,259
5,"(2, 0)",14,1018,0,12.92,264
6,"(2, 0)",11,1433,0,16.6,269
7,"(2, 0)",11,1948,1,20.6,274
8,"(2, 0)",9,2533,7,23.4,279
9,"(2, 0)",8,3185,16,26.08,284
10,"(3, 0)",28,3825,31,25.6,337
11,"(3, 0)",25,4470,49,25.8,390
12,"(3, 0)",25,5122,65,26.08,443
13,"(3, 0)",23,5776,79,26.16,496
14,"(3, 0)",23,6440,95,26.56,549
15,"(4, 0)",30,7151,109,28.44,554
16,"(4, 0)",25,7872,131,28.84,559
17,"(4, 0)",25,8606,152,29.36,564
18,"(4, 0)",25,9350,176,29.76,569
19,"(4, 0)",20,10090,200,29.6,574
20,"(4, 1)",28,10780,223,27.6,627
21,"(4, 1)",25,11465,244,27.4,680
22,"(4, 1)",22,12152,260,27.48,733
23,"(4, 1)",22,12842,276,27.6,786
24,"(4, 1)",18,13529,292,27.48,839
25,"(4, 2)",28,14260,309,29.24,844
26,"(4, 2)",25,14996,333,29.44,849
27,"(4, 2)",24,15735,355,29.56,854
28,"(4, 2)",22,16475,377,29.6,859
29,"(4, 2)",18,17213,400,29.52,864
30,"(4, 3)",28,17900,424,27.48,917
31,"(4, 3)",25,18584,442,27.36,970
32,"(4, 3)",24,19268,458,27.36,1023
33,"(4, 3)",25,19957,478,27.56,1076
34,"(4, 3)",24,20650,496,27.72,1129
