time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",2,9,0,0.36,38
1,"(1, 0)",2,27,0,0.72,78
2,"(1, 0)",2,50,0,0.92,120
3,"(1, 0)",3,80,0,1.2,165
4,"(1, 0)",3,125,0,1.8,208
5,"(2, 0)",4,218,0,3.72,208
6,"(2, 0)",6,356,0,5.52,208
7,"(2, 0)",6,535,0,7.16,208
8,"(2, 0)",8,764,0,9.16,208
9,"(2, 0)",9,1053,0,11.56,208
10,"(3, 0)",9,1335,0,11.28,258
11,"(3, 0)",12,1624,0,11.56,308
12,"(3, 0)",11,1908,0,11.36,358
13,"(3, 0)",10,2194,0,11.44,408
14,"(3, 0)",9,2482,0,11.52,458
15,"(4, 0)",16,2817,0,13.4,458
16,"(4, 0)",17,3199,0,15.28,458
17,"(4, 0)",19,3632,0,17.32,458
18,"(4, 0)",21,4128,0,19.84,458
19,"(4, 0)",22,4680,1,22.08,458
20,"(4, 1)",28,5232,4,22.08,508
21,"(4, 1)",28,5777,5,21.8,558
22,"(4, 1)",28,6338,7,22.44,608
23,"(4, 1)",27,6901,9,22.52,658
24,"(4, 1)",28,7472,9,22.84,708
25,"(4, 2)",27,8087,10,24.6,708
26,"(4, 2)",27,8737,16,26.0,708
27,"(4, 2)",29,9409,28,26.88,708
28,"(4, 2)",30,10101,41,27.68,708
29,"(4, 2)",30,10809,55,28.32,708
30,"(4, 3)",28,11478,72,26.76,758
31,"(4, 3)",28,12130,78,26.08,808
32,"(4, 3)",26,12779,83,25.96,858
33,"(4, 3)",25,13410,86,25.24,908
34,"(4, 3)",24,14031,89,24.84,958
