time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,15,0,0.6,35
1,"(1, 0)",0,47,0,1.28,73
2,"(1, 0)",0,92,0,1.8,118
3,"(1, 0)",1,139,0,1.88,165
4,"(1, 0)",6,205,0,2.64,210
5,"(2, 0)",6,320,0,4.6,210
6,"(2, 0)",6,492,0,6.88,210
7,"(2, 0)",6,698,0,8.24,210
8,"(2, 0)",7,953,0,10.2,210
9,"(2, 0)",10,1250,0,11.88,210
10,"(3, 0)",10,1537,0,11.48,260
11,"(3, 0)",10,1843,0,12.24,310
12,"(3, 0)",9,2146,0,12.12,360
13,"(3, 0)",7,2452,0,12.24,410
14,"(3, 0)",7,2776,0,12.96,460
15,"(4, 0)",18,3144,0,14.72,460
16,"(4, 0)",19,3548,0,16.16,460
17,"(4, 0)",19,3993,0,17.8,460
18,"(4, 0)",24,4488,0,19.8,460
19,"(4, 0)",26,5030,2,21.68,460
20,"(4, 1)",23,5562,5,21.28,510
21,"(4, 1)",21,6087,8,21.0,560
22,"(4, 1)",23,6618,10,21.24,610
23,"(4, 1)",23,7143,12,21.0,660
24,"(4, 1)",23,7672,13,21.16,710
25,"(4, 2)",23,8235,13,22.52,710
26,"(4, 2)",25,8846,21,24.44,710
27,"(4, 2)",27,9489,30,25.72,710
28,"(4, 2)",28,10165,42,27.04,710
29,"(4, 2)",30,10863,57,27.92,710
30,"(4, 3)",28,11529,73,26.64,760
31,"(4, 3)",28,12186,78,26.28,810
32,"(4, 3)",27,12845,84,26.36,860
33,"(4, 3)",26,13488,86,25.72,910
34,"(4, 3)",26,14123,88,25.4,960
