time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,16,0,0.64,35
1,"(1, 0)",0,52,0,1.44,79
2,"(1, 0)",0,91,0,1.56,126
3,"(1, 0)",2,129,0,1.52,169
4,"(1, 0)",4,179,0,2.0,212
5,"(2, 0)",5,286,0,4.28,212
6,"(2, 0)",8,427,0,5.64,212
7,"(2, 0)",9,615,0,7.52,212
8,"(2, 0)",12,855,0,9.6,212
9,"(2, 0)",13,1148,0,11.72,212
10,"(3, 0)",11,1449,0,12.04,262
11,"(3, 0)",11,1753,0,12.16,312
12,"(3, 0)",10,2058,0,12.2,362
13,"(3, 0)",8,2363,0,12.2,412
14,"(3, 0)",8,2659,0,11.84,462
15,"(4, 0)",17,2999,0,13.6,462
16,"(4, 0)",21,3398,0,15.96,462
17,"(4, 0)",21,3846,0,17.92,462
18,"(4, 0)",23,4339,0,19.72,462
19,"(4, 0)",25,4874,1,21.4,462
20,"(4, 1)",22,5404,3,21.2,512
21,"(4, 1)",23,5943,3,21.56,562
22,"(4, 1)",22,6483,5,21.6,612
23,"(4, 1)",22,7029,7,21.84,662
24,"(4, 1)",21,7565,9,21.44,712
25,"(4, 2)",26,8155,10,23.6,712
26,"(4, 2)",26,8789,13,25.36,712
27,"(4, 2)",26,9458,20,26.76,712
28,"(4, 2)",27,10155,34,27.88,712
29,"(4, 2)",30,10866,49,28.44,712
30,"(4, 3)",28,11546,68,27.2,762
31,"(4, 3)",28,12212,78,26.64,812
32,"(4, 3)",28,12872,84,26.4,862
33,"(4, 3)",28,13521,88,25.96,912
34,"(4, 3)",28,14161,92,25.6,962
