time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,10,0,0.4,35
1,"(1, 0)",1,29,0,0.76,75
2,"(1, 0)",1,62,0,1.32,119
3,"(1, 0)",0,93,0,1.24,156
4,"(1, 0)",0,128,0,1.4,197
5,"(2, 0)",7,223,0,3.8,197
6,"(2, 0)",7,364,0,5.64,197
7,"(2, 0)",9,558,0,7.76,197
8,"(2, 0)",10,803,0,9.8,197
9,"(2, 0)",13,1101,0,11.92,197
10,"(3, 0)",9,1399,0,11.92,247
11,"(3, 0)",10,1706,0,12.28,297
12,"(3, 0)",9,2019,0,12.52,347
13,"(3, 0)",8,2332,0,12.52,397
14,"(3, 0)",7,2650,0,12.72,447
15,"(4, 0)",16,3034,0,15.36,447
16,"(4, 0)",18,3465,0,17.24,447
17,"(4, 0)",19,3946,1,19.24,447
18,"(4, 0)",21,4475,4,21.16,447
19,"(4, 0)",22,5038,7,22.52,447
20,"(4, 1)",28,5592,13,22.16,497
21,"(4, 1)",28,6140,15,21.92,547
22,"(4, 1)",26,6676,16,21.44,597
23,"(4, 1)",26,7204,16,21.12,647
24,"(4, 1)",26,7741,17,21.48,697
25,"(4, 2)",29,8317,18,23.04,697
26,"(4, 2)",30,8936,21,24.76,697
27,"(4, 2)",30,9583,26,25.88,697
28,"(4, 2)",30,10259,35,27.04,697
29,"(4, 2)",30,10954,47,27.8,697
30,"(4, 3)",27,11624,61,26.8,747
31,"(4, 3)",28,12282,66,26.32,797
32,"(4, 3)",27,12927,68,25.8,847
33,"(4, 3)",28,13567,73,25.6,897
34,"(4, 3)",27,14202,73,25.4,947
