time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,10,0,0.4,33
1,"(1, 0)",0,26,0,0.64,73
2,"(1, 0)",0,48,0,0.88,116
3,"(1, 0)",0,83,0,1.4,160
4,"(1, 0)",0,118,0,1.4,200
5,"(2, 0)",4,201,0,3.32,200
6,"(2, 0)",7,341,0,5.6,200
7,"(2, 0)",12,524,0,7.32,200
8,"(2, 0)",14,756,0,9.28,200
9,"(2, 0)",17,1034,0,11.12,200
10,"(3, 0)",13,1319,0,11.4,250
11,"(3, 0)",11,1596,0,11.08,300
12,"(3, 0)",9,1866,0,10.8,350
13,"(3, 0)",8,2134,0,10.72,400
14,"(3, 0)",8,2401,0,10.68,450
15,"(4, 0)",13,2722,0,12.84,450
16,"(4, 0)",15,3080,0,14.32,450
17,"(4, 0)",16,3494,0,16.56,450
18,"(4, 0)",17,3955,0,18.44,450
19,"(4, 0)",18,4460,0,20.2,450
20,"(4, 1)",26,4959,1,19.96,500
21,"(4, 1)",27,5463,1,20.16,550
22,"(4, 1)",28,5969,3,20.24,600
23,"(4, 1)",28,6473,4,20.16,650
24,"(4, 1)",28,6977,5,20.16,700
25,"(4, 2)",16,7527,5,22.0,700
26,"(4, 2)",17,8109,7,23.28,700
27,"(4, 2)",17,8732,11,24.92,700
28,"(4, 2)",21,9388,17,26.24,700
29,"(4, 2)",23,10075,28,27.48,700
30,"(4, 3)",28,10734,39,26.36,750
31,"(4, 3)",27,11385,43,26.04,800
32,"(4, 3)",27,12032,45,25.88,850
33,"(4, 3)",27,12680,50,25.92,900
34,"(4, 3)",27,13325,58,25.8,950
