time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,13,0,0.52,35
1,"(1, 0)",0,40,0,1.08,76
2,"(1, 0)",0,76,0,1.44,117
3,"(1, 0)",1,118,0,1.68,160
4,"(1, 0)",1,165,0,1.88,204
5,"(2, 0)",4,255,0,3.6,204
6,"(2, 0)",5,393,0,5.52,204
7,"(2, 0)",6,583,0,7.6,204
8,"(2, 0)",8,831,0,9.92,204
9,"(2, 0)",10,1136,0,12.2,204
10,"(3, 0)",9,1438,0,12.08,254
11,"(3, 0)",10,1755,0,12.68,304
12,"(3, 0)",10,2067,0,12.48,354
13,"(3, 0)",10,2370,0,12.12,404
14,"(3, 0)",10,2665,0,11.8,454
15,"(4, 0)",12,3016,0,14.04,454
16,"(4, 0)",12,3419,0,16.12,454
17,"(4, 0)",14,3870,0,18.04,454
18,"(4, 0)",16,4365,0,19.8,454
19,"(4, 0)",19,4911,1,21.84,454
20,"(4, 1)",27,5447,3,21.44,504
21,"(4, 1)",26,5988,4,21.64,554
22,"(4, 1)",26,6524,5,21.44,604
23,"(4, 1)",27,7057,5,21.32,654
24,"(4, 1)",26,7592,6,21.4,704
25,"(4, 2)",11,8169,6,23.08,704
26,"(4, 2)",13,8793,9,24.96,704
27,"(4, 2)",16,9455,15,26.48,704
28,"(4, 2)",19,10139,22,27.36,704
29,"(4, 2)",21,10850,33,28.44,704
30,"(4, 3)",28,11531,49,27.24,754
31,"(4, 3)",26,12196,51,26.6,804
32,"(4, 3)",26,12852,55,26.24,854
33,"(4, 3)",27,13503,62,26.04,904
34,"(4, 3)",27,14153,66,26.0,954
