time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,18,0,0.72,33
1,"(1, 0)",0,44,0,1.04,75
2,"(1, 0)",0,80,0,1.44,116
3,"(1, 0)",0,125,0,1.8,159
4,"(1, 0)",0,160,0,1.4,201
5,"(2, 0)",1,243,0,3.32,201
6,"(2, 0)",3,382,0,5.56,201
7,"(2, 0)",6,580,0,7.92,201
8,"(2, 0)",7,828,0,9.92,201
9,"(2, 0)",7,1116,0,11.52,201
10,"(3, 0)",20,1403,0,11.48,251
11,"(3, 0)",19,1692,0,11.56,301
12,"(3, 0)",18,1982,0,11.6,351
13,"(3, 0)",17,2272,0,11.6,401
14,"(3, 0)",17,2557,0,11.4,451
15,"(4, 0)",18,2897,0,13.6,451
16,"(4, 0)",20,3279,1,15.28,451
17,"(4, 0)",23,3725,1,17.84,451
18,"(4, 0)",25,4212,3,19.48,451
19,"(4, 0)",30,4749,5,21.48,451
20,"(4, 1)",14,5288,10,21.56,501
21,"(4, 1)",13,5826,13,21.52,551
22,"(4, 1)",12,6351,14,21.0,601
23,"(4, 1)",16,6878,15,21.08,651
24,"(4, 1)",16,7408,15,21.2,701
25,"(4, 2)",26,7979,16,22.84,701
26,"(4, 2)",26,8588,18,24.36,701
27,"(4, 2)",27,9235,24,25.88,701
28,"(4, 2)",30,9913,36,27.12,701
29,"(4, 2)",30,10618,47,28.2,701
30,"(4, 3)",28,11286,66,26.72,751
31,"(4, 3)",28,11940,70,26.16,801
32,"(4, 3)",28,12590,75,26.0,851
33,"(4, 3)",27,13238,79,25.92,901
34,"(4, 3)",28,13882,85,25.76,951
