time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,12,0,0.48,40
1,"(1, 0)",0,31,0,0.76,80
2,"(1, 0)",0,59,0,1.12,119
3,"(1, 0)",1,92,0,1.32,159
4,"(1, 0)",0,128,0,1.44,199
5,"(2, 0)",5,223,0,3.8,199
6,"(2, 0)",6,362,0,5.56,199
7,"(2, 0)",6,548,0,7.44,199
8,"(2, 0)",9,782,0,9.36,199
9,"(2, 0)",11,1062,0,11.2,199
10,"(3, 0)",11,1349,0,11.48,249
11,"(3, 0)",10,1638,0,11.56,299
12,"(3, 0)",10,1932,0,11.76,349
13,"(3, 0)",9,2218,0,11.44,399
14,"(3, 0)",10,2505,0,11.48,449
15,"(4, 0)",23,2832,0,13.08,449
16,"(4, 0)",24,3220,0,15.52,449
17,"(4, 0)",27,3651,0,17.24,449
18,"(4, 0)",28,4125,1,18.96,449
19,"(4, 0)",30,4637,3,20.48,449
20,"(4, 1)",21,5144,5,20.28,499
21,"(4, 1)",22,5644,6,20.0,549
22,"(4, 1)",21,6151,7,20.28,599
23,"(4, 1)",19,6650,9,19.96,649
24,"(4, 1)",20,7158,11,20.32,699
25,"(4, 2)",9,7712,13,22.16,699
26,"(4, 2)",11,8299,18,23.48,699
27,"(4, 2)",11,8920,21,24.84,699
28,"(4, 2)",12,9568,30,25.92,699
29,"(4, 2)",14,10232,42,26.56,699
30,"(4, 3)",28,10865,52,25.32,749
31,"(4, 3)",28,11489,55,24.96,799
32,"(4, 3)",28,12108,57,24.76,849
33,"(4, 3)",27,12717,60,24.36,899
34,"(4, 3)",26,13325,62,24.32,949
