time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,18,0,0.72,39
1,"(1, 0)",2,37,0,0.76,75
2,"(1, 0)",1,62,0,1.0,114
3,"(1, 0)",1,98,0,1.44,158
4,"(1, 0)",0,144,0,1.84,206
5,"(2, 0)",0,235,0,3.64,206
6,"(2, 0)",2,376,0,5.64,206
7,"(2, 0)",5,573,0,7.88,206
8,"(2, 0)",7,811,0,9.52,206
9,"(2, 0)",10,1112,0,12.04,206
10,"(3, 0)",12,1414,0,12.08,256
11,"(3, 0)",12,1715,0,12.04,306
12,"(3, 0)",13,2020,0,12.2,356
13,"(3, 0)",14,2327,0,12.28,406
14,"(3, 0)",17,2632,0,12.2,456
15,"(4, 0)",18,2972,0,13.6,456
16,"(4, 0)",23,3362,0,15.6,456
17,"(4, 0)",25,3803,1,17.64,456
18,"(4, 0)",30,4283,2,19.2,456
19,"(4, 0)",30,4805,5,20.88,456
20,"(4, 1)",10,5335,10,21.2,506
21,"(4, 1)",10,5857,12,20.88,556
22,"(4, 1)",12,6382,14,21.0,606
23,"(4, 1)",17,6915,17,21.32,656
24,"(4, 1)",17,7449,18,21.36,706
25,"(4, 2)",23,8037,19,23.52,706
26,"(4, 2)",23,8665,25,25.12,706
27,"(4, 2)",26,9323,33,26.32,706
28,"(4, 2)",28,10006,43,27.32,706
29,"(4, 2)",30,10717,57,28.44,706
30,"(4, 3)",28,11395,73,27.12,756
31,"(4, 3)",28,12067,82,26.88,806
32,"(4, 3)",27,12728,89,26.44,856
33,"(4, 3)",27,13386,95,26.32,906
34,"(4, 3)",25,14038,100,26.08,956
