time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,13,0,0.52,39
1,"(1, 0)",0,25,0,0.48,79
2,"(1, 0)",0,42,0,0.68,117
3,"(1, 0)",1,69,0,1.08,158
4,"(1, 0)",1,95,0,1.04,199
5,"(2, 0)",6,177,0,3.28,199
6,"(2, 0)",8,312,0,5.4,199
7,"(2, 0)",9,495,0,7.32,199
8,"(2, 0)",12,729,0,9.36,199
9,"(2, 0)",14,1000,0,10.84,199
10,"(3, 0)",15,1277,0,11.08,249
11,"(3, 0)",14,1551,0,10.96,299
12,"(3, 0)",15,1820,0,10.76,349
13,"(3, 0)",15,2096,0,11.04,399
14,"(3, 0)",15,2378,0,11.28,449
15,"(4, 0)",22,2703,0,13.0,449
16,"(4, 0)",24,3066,0,14.52,449
17,"(4, 0)",26,3488,0,16.88,449
18,"(4, 0)",30,3961,0,18.92,449
19,"(4, 0)",30,4475,1,20.56,449
20,"(4, 1)",22,4991,2,20.64,499
21,"(4, 1)",20,5501,3,20.4,549
22,"(4, 1)",18,6002,4,20.04,599
23,"(4, 1)",20,6520,6,20.72,649
24,"(4, 1)",19,7046,7,21.04,699
25,"(4, 2)",21,7622,7,23.04,699
26,"(4, 2)",22,8231,11,24.36,699
27,"(4, 2)",25,8892,18,26.44,699
28,"(4, 2)",29,9587,28,27.8,699
29,"(4, 2)",30,10305,40,28.72,699
30,"(4, 3)",28,10984,57,27.16,749
31,"(4, 3)",27,11659,63,27.0,799
32,"(4, 3)",25,12324,71,26.6,849
33,"(4, 3)",23,12967,76,25.72,899
34,"(4, 3)",26,13601,83,25.36,949
