time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,7,0,0.28,38
1,"(1, 0)",0,27,0,0.8,70
2,"(1, 0)",1,55,0,1.12,112
3,"(1, 0)",0,88,0,1.32,153
4,"(1, 0)",1,135,0,1.88,195
5,"(2, 0)",1,229,0,3.76,195
6,"(2, 0)",4,378,0,5.96,195
7,"(2, 0)",5,579,0,8.04,195
8,"(2, 0)",8,834,0,10.2,195
9,"(2, 0)",9,1131,0,11.88,195
10,"(3, 0)",9,1442,0,12.44,245
11,"(3, 0)",9,1764,0,12.88,295
12,"(3, 0)",12,2092,0,13.12,345
13,"(3, 0)",14,2418,0,13.04,395
14,"(3, 0)",14,2755,0,13.48,445
15,"(4, 0)",13,3145,0,15.6,445
16,"(4, 0)",13,3586,1,17.64,445
17,"(4, 0)",14,4083,2,19.88,445
18,"(4, 0)",17,4625,3,21.68,445
19,"(4, 0)",18,5214,5,23.56,445
20,"(4, 1)",26,5783,10,22.76,495
21,"(4, 1)",26,6343,12,22.4,545
22,"(4, 1)",28,6902,14,22.36,595
23,"(4, 1)",28,7454,16,22.08,645
24,"(4, 1)",28,8023,18,22.76,695
25,"(4, 2)",22,8642,21,24.76,695
26,"(4, 2)",23,9303,26,26.44,695
27,"(4, 2)",24,9978,37,27.0,695
28,"(4, 2)",25,10672,51,27.76,695
29,"(4, 2)",27,11384,66,28.48,695
30,"(4, 3)",28,12056,84,26.88,745
31,"(4, 3)",27,12717,90,26.44,795
32,"(4, 3)",27,13367,90,26.0,845
33,"(4, 3)",26,14009,93,25.68,895
34,"(4, 3)",25,14647,95,25.52,945
