time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,7,0,0.28,33
1,"(1, 0)",0,29,0,0.88,70
2,"(1, 0)",0,51,0,0.88,108
3,"(1, 0)",0,94,0,1.72,153
4,"(1, 0)",0,147,0,2.12,197
5,"(2, 0)",3,249,0,4.08,197
6,"(2, 0)",6,403,0,6.16,197
7,"(2, 0)",7,603,0,8.0,197
8,"(2, 0)",9,844,0,9.64,197
9,"(2, 0)",12,1146,0,12.08,197
10,"(3, 0)",22,1452,0,12.24,247
11,"(3, 0)",21,1765,0,12.52,297
12,"(3, 0)",19,2072,0,12.28,347
13,"(3, 0)",20,2379,0,12.28,397
14,"(3, 0)",21,2687,0,12.32,447
15,"(4, 0)",13,3053,0,14.64,447
16,"(4, 0)",15,3465,0,16.48,447
17,"(4, 0)",17,3935,0,18.8,447
18,"(4, 0)",18,4449,1,20.56,447
19,"(4, 0)",19,5005,4,22.24,447
20,"(4, 1)",28,5550,6,21.8,497
21,"(4, 1)",28,6106,10,22.24,547
22,"(4, 1)",26,6666,11,22.4,597
23,"(4, 1)",25,7226,13,22.4,647
24,"(4, 1)",25,7792,14,22.64,697
25,"(4, 2)",22,8409,17,24.68,697
26,"(4, 2)",23,9059,21,26.0,697
27,"(4, 2)",26,9743,31,27.36,697
28,"(4, 2)",29,10448,44,28.2,697
29,"(4, 2)",30,11164,60,28.64,697
30,"(4, 3)",28,11846,76,27.28,747
31,"(4, 3)",28,12513,80,26.68,797
32,"(4, 3)",28,13165,85,26.08,847
33,"(4, 3)",26,13804,87,25.56,897
34,"(4, 3)",26,14440,90,25.44,947
