time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,17,0,0.68,34
1,"(1, 0)",0,43,0,1.04,75
2,"(1, 0)",0,79,0,1.44,116
3,"(1, 0)",0,124,0,1.8,159
4,"(1, 0)",0,159,0,1.4,201
5,"(2, 0)",1,237,0,3.12,206
6,"(2, 0)",0,368,0,5.24,209
7,"(2, 0)",0,555,0,7.48,212
8,"(2, 0)",0,791,0,9.44,213
9,"(2, 0)",0,1067,0,11.04,213
10,"(3, 0)",20,1343,0,11.04,262
11,"(3, 0)",16,1619,0,11.04,314
12,"(3, 0)",12,1893,0,10.96,367
13,"(3, 0)",8,2164,0,10.84,420
14,"(3, 0)",5,2427,0,10.52,473
15,"(4, 0)",18,2740,0,12.52,478
16,"(4, 0)",15,3090,1,14.0,483
17,"(4, 0)",13,3499,1,16.36,488
18,"(4, 0)",10,3947,2,17.92,493
19,"(4, 0)",10,4441,3,19.76,498
20,"(4, 1)",14,4940,6,19.96,551
21,"(4, 1)",10,5435,9,19.8,604
22,"(4, 1)",6,5914,10,19.16,657
23,"(4, 1)",7,6392,11,19.12,710
24,"(4, 1)",4,6870,11,19.12,763
25,"(4, 2)",26,7388,11,20.72,767
26,"(4, 2)",21,7940,12,22.08,772
27,"(4, 2)",17,8530,17,23.6,777
28,"(4, 2)",15,9152,27,24.88,782
29,"(4, 2)",10,9800,36,25.92,787
30,"(4, 3)",28,10416,51,24.64,840
31,"(4, 3)",25,11015,55,23.96,893
32,"(4, 3)",22,11609,58,23.76,946
33,"(4, 3)",18,12204,60,23.8,999
34,"(4, 3)",17,12795,64,23.64,1052
