time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,17,0,0.68,40
1,"(1, 0)",0,34,0,0.68,77
2,"(1, 0)",0,58,0,0.96,115
3,"(1, 0)",0,93,0,1.4,159
4,"(1, 0)",0,139,0,1.84,206
5,"(2, 0)",0,225,0,3.44,211
6,"(2, 0)",0,359,0,5.36,213
7,"(2, 0)",0,546,0,7.48,216
8,"(2, 0)",0,772,0,9.04,218
9,"(2, 0)",0,1058,0,11.44,221
10,"(3, 0)",12,1343,0,11.4,273
11,"(3, 0)",9,1625,0,11.28,325
12,"(3, 0)",7,1908,0,11.32,378
13,"(3, 0)",5,2190,0,11.28,431
14,"(3, 0)",5,2467,0,11.08,484
15,"(4, 0)",18,2774,0,12.28,489
16,"(4, 0)",18,3126,0,14.08,494
17,"(4, 0)",15,3524,1,15.92,499
18,"(4, 0)",15,3956,2,17.28,504
19,"(4, 0)",12,4427,4,18.84,509
20,"(4, 1)",10,4909,7,19.28,562
21,"(4, 1)",7,5380,9,18.84,615
22,"(4, 1)",6,5851,11,18.84,668
23,"(4, 1)",8,6327,14,19.04,721
24,"(4, 1)",5,6801,15,18.96,774
25,"(4, 2)",23,7324,16,20.92,779
26,"(4, 2)",18,7883,21,22.36,784
27,"(4, 2)",16,8473,27,23.6,789
28,"(4, 2)",13,9091,33,24.72,794
29,"(4, 2)",14,9748,43,26.28,799
30,"(4, 3)",28,10377,55,25.16,852
31,"(4, 3)",25,11003,61,25.04,905
32,"(4, 3)",21,11618,67,24.6,958
33,"(4, 3)",18,12228,72,24.4,1011
34,"(4, 3)",13,12830,76,24.08,1064
