time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,7,0,0.28,33
1,"(1, 0)",0,29,0,0.88,70
2,"(1, 0)",0,51,0,0.88,108
3,"(1, 0)",0,94,0,1.72,153
4,"(1, 0)",0,147,0,2.12,197
5,"(2, 0)",3,247,0,4.0,199
6,"(2, 0)",1,394,0,5.88,204
7,"(2, 0)",0,585,0,7.64,206
8,"(2, 0)",0,815,0,9.2,208
9,"(2, 0)",0,1103,0,11.52,211
10,"(3, 0)",22,1393,0,11.6,263
11,"(3, 0)",18,1687,0,11.76,316
12,"(3, 0)",13,1972,0,11.4,369
13,"(3, 0)",11,2254,0,11.28,422
14,"(3, 0)",9,2534,0,11.2,475
15,"(4, 0)",13,2867,0,13.32,480
16,"(4, 0)",10,3241,0,14.96,485
17,"(4, 0)",7,3668,0,17.08,490
18,"(4, 0)",3,4136,0,18.72,495
19,"(4, 0)",0,4646,1,20.4,499
20,"(4, 1)",28,5153,2,20.28,547
21,"(4, 1)",25,5671,4,20.72,600
22,"(4, 1)",20,6190,5,20.76,653
23,"(4, 1)",16,6708,6,20.72,706
24,"(4, 1)",13,7229,7,20.84,759
25,"(4, 2)",22,7796,10,22.68,764
26,"(4, 2)",18,8391,14,23.8,769
27,"(4, 2)",16,9021,22,25.2,774
28,"(4, 2)",14,9673,33,26.08,779
29,"(4, 2)",14,10343,46,26.8,784
30,"(4, 3)",28,10977,61,25.36,837
31,"(4, 3)",25,11594,64,24.68,890
32,"(4, 3)",23,12198,66,24.16,943
33,"(4, 3)",18,12786,68,23.52,996
34,"(4, 3)",15,13369,70,23.32,1049
