time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,7,0,0.28,38
1,"(1, 0)",0,27,0,0.8,70
2,"(1, 0)",0,54,0,1.08,113
3,"(1, 0)",0,87,0,1.32,153
4,"(1, 0)",0,133,0,1.84,196
5,"(2, 0)",1,224,0,3.64,198
6,"(2, 0)",0,366,0,5.68,202
7,"(2, 0)",0,559,0,7.72,203
8,"(2, 0)",0,803,0,9.76,206
9,"(2, 0)",0,1088,0,11.4,207
10,"(3, 0)",9,1387,0,11.96,257
11,"(3, 0)",6,1696,0,12.36,308
12,"(3, 0)",6,2008,0,12.48,361
13,"(3, 0)",5,2315,0,12.28,414
14,"(3, 0)",2,2630,0,12.6,467
15,"(4, 0)",13,2994,0,14.56,471
16,"(4, 0)",8,3404,1,16.4,476
17,"(4, 0)",4,3865,2,18.44,481
18,"(4, 0)",2,4366,3,20.04,486
19,"(4, 0)",0,4911,5,21.8,489
20,"(4, 1)",26,5438,10,21.08,537
21,"(4, 1)",23,5954,12,20.64,589
22,"(4, 1)",23,6467,13,20.52,642
23,"(4, 1)",22,6972,14,20.2,695
24,"(4, 1)",20,7492,15,20.8,748
25,"(4, 2)",22,8060,17,22.72,753
26,"(4, 2)",18,8666,21,24.24,758
27,"(4, 2)",14,9283,31,24.68,763
28,"(4, 2)",10,9918,43,25.4,768
29,"(4, 2)",7,10577,55,26.36,773
30,"(4, 3)",28,11198,71,24.84,826
31,"(4, 3)",24,11805,77,24.28,879
32,"(4, 3)",21,12398,77,23.72,932
33,"(4, 3)",17,12980,80,23.28,985
34,"(4, 3)",13,13557,81,23.08,1037
