time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,12,0,0.48,36
1,"(1, 0)",0,43,0,1.24,75
2,"(1, 0)",0,83,0,1.6,119
3,"(1, 0)",0,123,0,1.6,166
4,"(1, 0)",0,175,0,2.08,212
5,"(2, 0)",7,271,0,3.84,213
6,"(2, 0)",2,413,0,5.68,218
7,"(2, 0)",0,594,0,7.24,221
8,"(2, 0)",0,822,0,9.12,223
9,"(2, 0)",0,1100,0,11.12,223
10,"(3, 0)",4,1373,0,10.92,273
11,"(3, 0)",2,1644,0,10.84,326
12,"(3, 0)",0,1910,0,10.64,379
13,"(3, 0)",0,2168,0,10.32,430
14,"(3, 0)",0,2434,0,10.64,482
15,"(4, 0)",10,2754,0,12.8,485
16,"(4, 0)",9,3138,0,15.36,490
17,"(4, 0)",5,3578,0,17.6,495
18,"(4, 0)",3,4059,3,19.24,500
19,"(4, 0)",0,4590,7,21.24,505
20,"(4, 1)",28,5119,13,21.16,556
21,"(4, 1)",25,5643,15,20.96,608
22,"(4, 1)",21,6171,18,21.12,659
23,"(4, 1)",17,6695,22,20.96,710
24,"(4, 1)",13,7199,24,20.16,762
25,"(4, 2)",22,7748,26,21.96,767
26,"(4, 2)",17,8322,31,22.96,772
27,"(4, 2)",13,8917,38,23.8,777
28,"(4, 2)",10,9536,44,24.76,782
29,"(4, 2)",6,10174,53,25.52,787
30,"(4, 3)",28,10787,66,24.52,840
31,"(4, 3)",25,11389,70,24.08,893
32,"(4, 3)",21,11982,74,23.72,946
33,"(4, 3)",18,12567,75,23.4,999
34,"(4, 3)",16,13155,76,23.52,1052
