time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",1,10,0,0.4,35
1,"(1, 0)",0,28,0,0.72,76
2,"(1, 0)",0,60,0,1.28,120
3,"(1, 0)",0,91,0,1.24,156
4,"(1, 0)",0,126,0,1.4,197
5,"(2, 0)",7,219,0,3.72,199
6,"(2, 0)",2,353,0,5.36,204
7,"(2, 0)",0,536,0,7.32,208
8,"(2, 0)",0,769,0,9.32,209
9,"(2, 0)",0,1052,0,11.32,212
10,"(3, 0)",9,1333,0,11.24,264
11,"(3, 0)",7,1622,0,11.56,315
12,"(3, 0)",3,1914,0,11.68,368
13,"(3, 0)",0,2206,0,11.68,418
14,"(3, 0)",0,2504,0,11.92,467
15,"(4, 0)",16,2867,0,14.52,468
16,"(4, 0)",13,3272,0,16.2,473
17,"(4, 0)",9,3722,1,18.0,478
18,"(4, 0)",6,4215,4,19.72,483
19,"(4, 0)",2,4737,7,20.88,488
20,"(4, 1)",28,5249,13,20.48,539
21,"(4, 1)",25,5752,15,20.12,592
22,"(4, 1)",20,6240,16,19.52,645
23,"(4, 1)",17,6717,16,19.08,698
24,"(4, 1)",14,7200,17,19.32,751
25,"(4, 2)",29,7717,18,20.68,756
26,"(4, 2)",25,8273,20,22.24,761
27,"(4, 2)",21,8856,23,23.32,766
28,"(4, 2)",17,9464,31,24.32,771
29,"(4, 2)",14,10089,41,25.0,776
30,"(4, 3)",27,10691,53,24.08,829
31,"(4, 3)",25,11279,57,23.52,882
32,"(4, 3)",21,11851,59,22.88,935
33,"(4, 3)",19,12416,63,22.6,988
34,"(4, 3)",15,12973,63,22.28,1041
