time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,14,0,0.56,36
1,"(1, 0)",0,43,0,1.16,83
2,"(1, 0)",0,71,0,1.12,128
3,"(1, 0)",0,106,0,1.4,171
4,"(1, 0)",0,146,0,1.6,218
5,"(2, 0)",2,230,0,3.36,220
6,"(2, 0)",0,366,0,5.44,225
7,"(2, 0)",0,546,0,7.2,227
8,"(2, 0)",0,772,0,9.04,231
9,"(2, 0)",0,1053,0,11.24,231
10,"(3, 0)",14,1335,0,11.28,280
11,"(3, 0)",10,1619,0,11.36,332
12,"(3, 0)",5,1901,0,11.28,385
13,"(3, 0)",1,2177,0,11.04,438
14,"(3, 0)",0,2459,0,11.28,488
15,"(4, 0)",18,2787,0,13.12,491
16,"(4, 0)",18,3159,0,14.88,496
17,"(4, 0)",13,3577,0,16.72,501
18,"(4, 0)",11,4038,0,18.44,506
19,"(4, 0)",9,4543,2,20.2,511
20,"(4, 1)",28,5039,5,19.84,564
21,"(4, 1)",24,5525,6,19.44,617
22,"(4, 1)",19,6000,7,19.0,669
23,"(4, 1)",16,6460,8,18.4,722
24,"(4, 1)",13,6909,9,17.96,775
25,"(4, 2)",29,7401,10,19.68,780
26,"(4, 2)",25,7932,13,21.24,785
27,"(4, 2)",24,8500,14,22.72,790
28,"(4, 2)",22,9108,21,24.32,795
29,"(4, 2)",18,9745,32,25.48,800
30,"(4, 3)",28,10350,45,24.2,853
31,"(4, 3)",25,10942,51,23.68,906
32,"(4, 3)",24,11523,52,23.24,959
33,"(4, 3)",25,12095,57,22.88,1012
34,"(4, 3)",21,12659,61,22.56,1065
