time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,10,0,0.4,33
1,"(1, 0)",0,26,0,0.64,73
2,"(1, 0)",0,48,0,0.88,116
3,"(1, 0)",0,83,0,1.4,160
4,"(1, 0)",0,118,0,1.4,200
5,"(2, 0)",4,201,0,3.32,200
6,"(2, 0)",2,336,0,5.4,205
7,"(2, 0)",2,509,0,6.92,210
8,"(2, 0)",0,727,0,8.72,214
9,"(2, 0)",0,988,0,10.44,217
10,"(3, 0)",13,1257,0,10.76,266
11,"(3, 0)",8,1516,0,10.36,318
12,"(3, 0)",3,1765,0,9.96,371
13,"(3, 0)",0,2012,0,9.88,421
14,"(3, 0)",0,2258,0,9.84,471
15,"(4, 0)",13,2556,0,11.92,473
16,"(4, 0)",10,2886,0,13.2,478
17,"(4, 0)",6,3267,0,15.24,483
18,"(4, 0)",2,3690,0,16.92,488
19,"(4, 0)",0,4154,0,18.56,491
20,"(4, 1)",26,4612,1,18.32,541
21,"(4, 1)",24,5072,1,18.4,594
22,"(4, 1)",23,5532,2,18.4,647
23,"(4, 1)",21,5988,2,18.24,700
24,"(4, 1)",19,6442,2,18.16,753
25,"(4, 2)",16,6937,2,19.8,758
26,"(4, 2)",12,7459,4,20.88,763
27,"(4, 2)",7,8017,8,22.32,768
28,"(4, 2)",6,8606,13,23.56,773
29,"(4, 2)",3,9229,20,24.92,778
30,"(4, 3)",28,9831,28,24.08,830
31,"(4, 3)",24,10424,32,23.72,881
32,"(4, 3)",21,11010,34,23.44,934
33,"(4, 3)",18,11594,39,23.36,987
34,"(4, 3)",15,12178,44,23.36,1038
