time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,10,0,0.4,42
1,"(1, 0)",0,19,0,0.36,82
2,"(1, 0)",0,33,0,0.56,120
3,"(1, 0)",0,57,0,0.96,161
4,"(1, 0)",0,81,0,0.96,201
5,"(2, 0)",6,158,0,3.08,204
6,"(2, 0)",3,283,0,5.0,209
7,"(2, 0)",0,452,0,6.76,213
8,"(2, 0)",0,669,0,8.68,216
9,"(2, 0)",0,921,0,10.08,218
10,"(3, 0)",15,1179,0,10.32,268
11,"(3, 0)",11,1431,0,10.08,321
12,"(3, 0)",9,1676,0,9.8,373
13,"(3, 0)",6,1925,0,9.96,426
14,"(3, 0)",3,2177,0,10.08,479
15,"(4, 0)",22,2469,0,11.68,482
16,"(4, 0)",19,2794,0,13.0,487
17,"(4, 0)",16,3173,0,15.16,492
18,"(4, 0)",15,3598,0,17.0,497
19,"(4, 0)",13,4062,0,18.56,502
20,"(4, 1)",22,4527,0,18.6,555
21,"(4, 1)",17,4987,0,18.4,608
22,"(4, 1)",12,5436,0,17.96,661
23,"(4, 1)",11,5900,1,18.56,714
24,"(4, 1)",7,6370,1,18.8,767
25,"(4, 2)",21,6885,1,20.6,772
26,"(4, 2)",17,7431,4,21.84,777
27,"(4, 2)",15,8028,9,23.88,782
28,"(4, 2)",14,8660,15,25.28,787
29,"(4, 2)",13,9320,22,26.4,792
30,"(4, 3)",28,9953,35,25.32,845
31,"(4, 3)",24,10579,41,25.04,898
32,"(4, 3)",19,11196,46,24.68,951
33,"(4, 3)",14,11793,49,23.88,1004
34,"(4, 3)",14,12381,54,23.52,1057
