time,ambulance_pos,blocking,total_delay,spillbacks,avg_queue,throughput
0,"(1, 0)",0,16,0,0.64,35
1,"(1, 0)",0,52,0,1.44,79
2,"(1, 0)",0,91,0,1.56,126
3,"(1, 0)",0,127,0,1.44,171
4,"(1, 0)",0,173,0,1.84,216
5,"(2, 0)",5,273,0,4.0,219
6,"(2, 0)",3,402,0,5.16,224
7,"(2, 0)",0,574,0,6.88,228
8,"(2, 0)",0,795,0,8.84,231
9,"(2, 0)",0,1068,0,10.92,232
10,"(3, 0)",11,1346,0,11.12,285
11,"(3, 0)",8,1624,0,11.12,338
12,"(3, 0)",4,1901,0,11.08,390
13,"(3, 0)",0,2176,0,11.0,442
14,"(3, 0)",0,2443,0,10.68,491
15,"(4, 0)",17,2754,0,12.44,491
16,"(4, 0)",16,3119,0,14.6,496
17,"(4, 0)",11,3528,0,16.36,501
18,"(4, 0)",8,3977,0,17.96,506
19,"(4, 0)",5,4463,1,19.44,511
20,"(4, 1)",22,4941,3,19.12,564
21,"(4, 1)",20,5425,3,19.36,617
22,"(4, 1)",16,5907,5,19.28,670
23,"(4, 1)",13,6392,7,19.4,723
24,"(4, 1)",9,6867,7,19.0,776
25,"(4, 2)",26,7391,8,20.96,781
26,"(4, 2)",21,7957,10,22.64,786
27,"(4, 2)",16,8558,15,24.04,791
28,"(4, 2)",12,9192,25,25.36,796
29,"(4, 2)",10,9841,37,25.96,801
30,"(4, 3)",28,10464,52,24.92,854
31,"(4, 3)",25,11072,60,24.32,907
32,"(4, 3)",24,11675,64,24.12,960
33,"(4, 3)",21,12265,67,23.6,1013
34,"(4, 3)",20,12845,70,23.2,1066
